Year,Category,Total,"Food-secure households-1,000",Food-secure households-percent,"Food-insecure households-1,000",Food-insecure households-percent," Households with food-insecure children-1,000 ",Households with food-insecure children-percent," Households with very low food security among children-1,000 ",Households with very low food security among children-percent
2024,Children - by food security status of household, 72179, 58088,80.5, 14091,19.5, 7306,10.1, 751,1
2024,Households with Children,36599,29860,81.6,6739,18.4,3313,9.1,318,0.9
