state,state_abb,fips,year,year_frac,law_class,law_class_subtype,handguns_or_long_guns,age_for_minimum_age_laws,length_of_waiting_period_days_handguns,additional_context_and_notes,discrepancies,law_id
Delaware,DE,10,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,DE1052
Delaware,DE,10,2024,1,background checks,extra time,handgun,NA,NA,NA,NA,DE1053
Delaware,DE,10,2024,1,local laws preempted by state,comprehensive,handgun and long gun,NA,NA,"Exception: (b) Subsection (a) of this section notwithstanding, municipal governments may adopt ordinances regulating the possession of firearms, ammunition, components of firearms, or explosives in police stations and municipal buildings which contain all of the provisions contained in this subsection. Any ordinance adopted by a municipal government regulating possession of firearms, ammunition, components of firearms, or explosives in police stations or municipal buildings shall require that all areas where possession is restricted are clearly identified by a conspicuous sign posted at each entrance to the restricted areas. The sign may also specify that persons in violation may be denied entrance to the building or be ordered to leave the building. Any ordinance adopted by municipal governments relating to possession in police stations or municipal buildings shall also state that any person who immediately foregoes entry or immediately exits such building due to the possession of a firearm, ammunition, components of firearms, or explosives shall not be guilty of violating the ordinance. Municipal governments may establish penalties for any intentional violation of such ordinance as deemed necessary to protect public safety",NA,DE1057
Delaware,DE,10,2024,1,required reporting of lost or stolen firearms,lost and stolen firearms,handgun and long gun,NA,NA,NA,NA,DE1059
Delaware,DE,10,2024,1,required reporting of lost or stolen firearms,tracing firearms used in crimes,handgun and long gun,NA,NA,"Formerly House Bill No. 217 An Act to Amend Title 11 of the Delaware Code Relating to Law Enforcement Procedure with Respect to Firearms and Firearm Related Evidence.

The law does not specify if it's for handguns, long guns or both.",NA,DE1062
Delaware,DE,10,2024,1,firearm sales restrictions,ban on high capacity magazines,handgun and long gun,NA,NA,"Subsection expires 1/1/24: (d)(1) The Secretary of the Department of Safety and Homeland Security (“Secretary”) shall establish and administer a compensation program for residents of this State to allow a resident in possession of a large-capacity magazine on August 29, 2022, to relinquish the large-capacity magazine to the Department of Safety and Homeland Security (“Department”) or a participating local law-enforcement agency in exchange for a monetary payment established under this subsection.
(2) The Secretary shall adopt rules to implement the compensation program, including the following:
a. That the compensation program be implemented between June 30, 2022 and June 30, 2023, at locations throughout this State. The Department shall coordinate with local law-enforcement agencies in implementing the program.
b. That the compensation program allows a resident to relinquish a large-capacity magazine to the Department, or a local law-enforcement agency participating in the program, in exchange for a compensation in the amount of the market rate for each large-capacity magazine.
c. That establishes the method for providing the monetary payment and reimbursing a participating law-enforcement agency for payments made to residents under the compensation program.
d. That the compensation program is subject to the availability of funds appropriated for this specific purpose by the General Assembly. This subsection does not create a right or entitlement in a resident to receive a monetary payment under the compensation program.
(3) The Secretary shall submit a report to the General Assembly by December 29, 2023, providing the results of the compensation program, including the number of large-capacity magazines relinquished to law-enforcement agencies, by county, and the total amount expended under the program.
(e) This section does not apply to any of the following:
(1) A person who manufactures a large-capacity magazine, if the person manufactures the large-capacity magazine with the intent to sell the large-capacity magazine, or offer the large-capacity magazine for sale, to a person outside of this State.
(2) A person who ships or transports a large-capacity magazine for a person under paragraph (e)(1) of this section.",NA,DE1063
Delaware,DE,10,2024,1,firearm sales restrictions,assault weapons ban,long gun,NA,NA,NA,NA,DE1064
Delaware,DE,10,2024,0,firearm sales restrictions,assault weapons ban — Federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,DE1065
Delaware,DE,10,2024,0,firearm sales restrictions,ban on high capacity magazines – federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,DE1067
Delaware,DE,10,2024,1,minimum age,minimum age purchase - federal,long gun,21,NA,NA,NA,DE1068
Delaware,DE,10,2024,1,minimum age,minimum age purchase - federal,handgun,18,NA,NA,NA,DE1069
Delaware,DE,10,2024,1,minimum age,minimum age possession - federal,handgun,18,NA,NA,NA,DE1070
Delaware,DE,10,2024,1,prohibited possessor,violent misdemeanor,handgun and long gun,NA,NA,Approved 7/21/92,NA,DE1071
Delaware,DE,10,2024,1,untraceable firearms,prohibited,handgun and long gun,NA,NA,NA,NA,DE1072
Delaware,DE,10,2024,0,firearms in college/university,public and private : possession prohibited,handgun and long gun,NA,NA,NA,NA,DE1073
Delaware,DE,10,2024,0,permit to purchase,required,handgun,NA,NA,NA,NA,DE1074
Delaware,DE,10,2024,0,minimum age,purchase and sale,handgun,18,NA,Exception for parental consent,NA,DE1075
Delaware,DE,10,2024,0,minimum age,purchase and sale,long gun,18,NA,Exception for parental consent,NA,DE1076
Delaware,DE,10,2024,1,minimum age,purchase and sale,long gun,21,NA,Section 1448 excepts shotguns (as defined in § 1444(c)) and muzzle-loading rifles (as defined in § 704(f),NA,DE1077
Delaware,DE,10,2024,1,minimum age,purchase and sale,handgun,21,NA,NA,NA,DE1078
Delaware,DE,10,2024,1,minimum age,youth possession,long gun,18,NA,"Does not apply to shotguns (as defined in § 1444(c)) or muzzle-loading rifles (as defined in § 704(f); exception for hunting, instruction, sporting, and recreation while under direct supervision of individual 21+; exception for possession and control for lawful hunting.",NA,DE1079
Delaware,DE,10,2024,0,minimum age,youth possession,long gun,21,NA,"Does not apply to shotguns (as defined in § 1444(c)) or muzzle-loading rifles (as defined in § 704(f); exception for hunting, instruction, sporting, and recreation while under direct supervision of individual 21+; exception for possession and control for lawful hunting.",NA,DE1080
Delaware,DE,10,2024,0,minimum age,youth possession,handgun,21,NA,"Does not apply to shotguns (as defined in § 1444(c)) or muzzle-loading rifles (as defined in § 704(f); exception for hunting, instruction, sporting, and recreation while under direct supervision of individual 21+; exception for possession and control for lawful hunting.",NA,DE1081
Florida,FL,12,2024,1,background checks,sales from dealer,handgun,NA,NA,NA,NA,FL1002
Florida,FL,12,2024,1,background checks,sales from dealer,long gun,NA,NA,"Vernick and Hepburn (2003) indicated that the statute included a section stating it would be repealed in 2002, but that was later removed.",NA,FL1004
Florida,FL,12,2024,0,carrying a concealed weapon (ccw),may issue,handgun,NA,NA,"1969 amendment changed Sec. 790.01 to include exception for person licensed under Sec. 790.06; Sec. 790.06 remained the same as in 1949.

Unclear what year this law was first implemented.",NA,FL1005
Florida,FL,12,2024,0,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,NA,NA,FL1006
Florida,FL,12,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,"See Catalfamo (2007), p. 509.",NA,FL1007
Florida,FL,12,2024,1,castle doctrine,stand your ground,handgun and long gun,NA,NA,NA,NA,FL1008
Florida,FL,12,2024,1,child access laws,negligent storage,handgun and long gun,NA,NA,NA,NA,FL1010
Florida,FL,12,2024,1,minimum age,youth possession,long gun,18,NA,NA,NA,FL1012
Florida,FL,12,2024,0,minimum age,purchase and sale,handgun,16,NA,NA,NA,FL1014
Florida,FL,12,2024,0,minimum age,purchase and sale,long gun,18,NA,NA,NA,FL1015
Florida,FL,12,2024,1,open carry,prohibited,long gun,NA,NA,NA,NA,FL1018
Florida,FL,12,2024,1,waiting period,general,handgun,NA,3,"As of 1998, Florida Constitution. art. I, § 8(b) also allows counties to impose a ""3 to 5-day waiting period.""",NA,FL1020
Florida,FL,12,2024,1,open carry,prohibited,handgun,NA,NA,NA,NA,FL1025
Florida,FL,12,2024,1,minimum age,youth possession,handgun,18,NA,NA,NA,FL1028
Florida,FL,12,2024,0,minimum age,purchase and sale,handgun,18,NA,NA,NA,FL1029
Florida,FL,12,2024,1,minimum age,purchase and sale,handgun,21,NA,NA,NA,FL1031
Florida,FL,12,2024,1,minimum age,purchase and sale,long gun,21,NA,NA,NA,FL1032
Florida,FL,12,2024,1,waiting period,general,long gun,NA,3,"This law will extend the waiting period if all specified background checks are not completed in three days.  Some sales are exempt from the waiting period law, including purchases by people with hunting licenses, law enforcement officers, and servicemembers.",NA,FL1033
Florida,FL,12,2024,1,prohibited possessor,dvro,handgun and long gun,NA,NA,"In 2003, FL added a discretionary firearm surrender requirement with Fla. Stat. § 741.31(4)(a).",NA,FL1034
Florida,FL,12,2024,1,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,NA,NA,The prohibition ends when relief from the firearm possession and firearm ownership disability is obtained.,NA,FL1036
Florida,FL,12,2024,1,prohibited possessor,mental health : committed to mh facility,handgun and long gun,NA,NA,The prohibition ends when relief from the firearm possession and firearm ownership disability is obtained.,NA,FL1037
Florida,FL,12,2024,1,prohibited possessor,erpo,handgun and long gun,NA,NA,NA,NA,FL1038
Florida,FL,12,2024,1,prohibited possessor,erpo : ex parte,handgun and long gun,NA,NA,"In urgent cases, a court may issue an emergency temporary ERPO, prior to providing notice and holding a hearing, if the court finds reasonable cause based on detailed allegations in the ERPO petition that the respondent poses a significant danger of causing personal injury to himself or herself or others in the near future by having in his or her custody or control, or by purchasing, possessing, or receiving, a firearm or ammunition. The temporary ERPO will generally only be in effect for up to 14 days, before the court holds a full hearing on whether to grant a longer ERPO",NA,FL1039
Florida,FL,12,2024,1,background checks,extra time,handgun,NA,NA,"This law will extend the waiting period if all specificed background checks are not completed in three days.  Some sales are exempt from the waiting period law, including purchases by people with hunting licenses, law enforcement officers, and servicemembers.",NA,FL1043
Florida,FL,12,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),NA,FL1046
Florida,FL,12,2024,1,background checks,sales from dealer : federal,handgun and long gun,NA,NA,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,NA,FL1047
Florida,FL,12,2024,1,background checks,extra time,long gun,NA,NA,"This law will extend the waiting period if all specificed background checks are not completed in three days. Some sales are exempt from the waiting period law, including purchases by people with hunting licenses, law enforcement officers, and servicemembers.",NA,FL1052
Florida,FL,12,2024,1,firearms in college/university,public and private : CCW not allowed,handgun,NA,NA,"See Florida Carry, Inc. v. Univ. of N. Florida, 133 So. 3d 966, 977 (Fla. Ct. App. 2013) for excpeiton for CCW holders with firearms in parked cars.",NA,FL1055
Florida,FL,12,2024,1,firearms in college/university,public and private : possession prohibited,handgun,NA,NA,NA,NA,FL1056
Florida,FL,12,2024,1,firearms in college/university,public and private : possession prohibited,long gun,NA,NA,NA,NA,FL1057
Florida,FL,12,2024,1,local laws preempted by state,comprehensive,handgun and long gun,NA,NA,"Amended in 2011 to provide further sanctions: fines, firing of officials, and civil liability.

(4) Exceptions.--This section does not prohibit:

(a) Zoning ordinances that encompass firearms businesses along with other businesses, except that zoning ordinances that are designed for the purpose of restricting or prohibiting the sale, purchase, transfer, or manufacture of firearms or ammunition as a method of regulating firearms or ammunition are in conflict with this subsection and are prohibited;

(b) A duly organized law enforcement agency from enacting and enforcing regulations pertaining to firearms, ammunition, or firearm accessories issued to or used by peace officers in the course of their official duties;

(c) Except as provided in s. 790.251, any entity subject to the prohibitions of this section from regulating or prohibiting the carrying of firearms and ammunition by an employee of the entity during and in the course of the employee's official duties;

(d) A court or administrative law judge from hearing and resolving any case or controversy or issuing any opinion or order on a matter within the jurisdiction of that court or judge; or

(e) The Florida Fish and Wildlife Conservation Commission from regulating the use of firearms or ammunition as a method of taking wildlife and regulating the shooting ranges managed by the commission.",NA,FL1059
Florida,FL,12,2024,1,firearms in K-12 educational settings,school personnel other than peace officers,handgun and long gun,NA,NA,NA,NA,FL1062
Florida,FL,12,2024,1,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,NA,NA,NA,NA,FL1063
Florida,FL,12,2024,0,firearm sales restrictions,assault weapons ban — Federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,FL1064
Florida,FL,12,2024,0,firearm sales restrictions,ban on high capacity magazines – federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,FL1066
Florida,FL,12,2024,1,local laws preempted by state,comprehensive - punitive,handgun and long gun,NA,NA,"Amended in 2011 to provide further sanctions: fines, firing of officials, and civil liability.

(4) Exceptions.--This section does not prohibit:

(a) Zoning ordinances that encompass firearms businesses along with other businesses, except that zoning ordinances that are designed for the purpose of restricting or prohibiting the sale, purchase, transfer, or manufacture of firearms or ammunition as a method of regulating firearms or ammunition are in conflict with this subsection and are prohibited;

(b) A duly organized law enforcement agency from enacting and enforcing regulations pertaining to firearms, ammunition, or firearm accessories issued to or used by peace officers in the course of their official duties;

(c) Except as provided in s. 790.251, any entity subject to the prohibitions of this section from regulating or prohibiting the carrying of firearms and ammunition by an employee of the entity during and in the course of the employee's official duties;

(d) A court or administrative law judge from hearing and resolving any case or controversy or issuing any opinion or order on a matter within the jurisdiction of that court or judge; or

(e) The Florida Fish and Wildlife Conservation Commission from regulating the use of firearms or ammunition as a method of taking wildlife and regulating the shooting ranges managed by the commission.",NA,FL1067
Florida,FL,12,2024,1,minimum age,minimum age purchase - federal,long gun,21,NA,NA,NA,FL1068
Florida,FL,12,2024,1,minimum age,minimum age purchase - federal,handgun,18,NA,NA,NA,FL1069
Florida,FL,12,2024,1,minimum age,minimum age possession - federal,handgun,18,NA,NA,NA,FL1070
Georgia,GA,13,2024,0,background checks,sales from dealer,handgun,NA,NA,NA,NA,GA1002
Georgia,GA,13,2024,0,carrying a concealed weapon (ccw),may issue,handgun,NA,NA,There is confusion about whether this was shall issue or may issue. See Cramer and Kopel (1994).,NA,GA1005
Georgia,GA,13,2024,0,carrying a concealed weapon (ccw),prohibited,handgun,NA,NA,"Initial law, from 1837, prohibited posession, sale and all manner of carrying pistols.  Was held constitutional re: carrying pistols, void as to to other provisions in 1846. See Warner, ""The Uniform Pistol Act.""",NA,GA1006
Georgia,GA,13,2024,0,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,NA,NA,GA1007
Georgia,GA,13,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,GA1008
Georgia,GA,13,2024,1,castle doctrine,stand your ground,handgun and long gun,NA,NA,NA,NA,GA1009
Georgia,GA,13,2024,1,child access laws,"intentional, reckless, or knowing provision",handgun,NA,NA,NA,NA,GA1011
Georgia,GA,13,2024,0,dealer license,state license requirement,handgun,NA,NA,"According to the ""history"" on Lexis, this text hasn't changed since 1964, so even though this is the 1991 citation, it should be the same.",NA,GA1012
Georgia,GA,13,2024,1,dealer license,state license requirement,handgun,NA,NA,NA,NA,GA1013
Georgia,GA,13,2024,1,minimum age,youth possession,handgun,18,NA,NA,NA,GA1015
Georgia,GA,13,2024,0,minimum age,purchase and sale,handgun,21,NA,NA,NA,GA1018
Georgia,GA,13,2024,1,minimum age,purchase and sale,handgun,18,NA,"Ga. Code Ann. § § 16-11-101.1(a)(1) defines ""minor"" as under 18.",NA,GA1019
Georgia,GA,13,2024,1,open carry,license required,handgun,NA,NA,See Ga. Code Ann. § 26-2904 (1976) for original version.,NA,GA1021
Georgia,GA,13,2024,0,open carry,prohibited,handgun,NA,NA,NA,NA,GA1022
Georgia,GA,13,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),NA,GA1038
Georgia,GA,13,2024,1,background checks,sales from dealer : federal,handgun and long gun,NA,NA,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,NA,GA1039
Georgia,GA,13,2024,0,waiting period,federal,handgun,NA,5,"In general, the waiting period applies only in states without an acceptable alternate system of conducting background checks on handgun purchasers.",NA,GA1044
Georgia,GA,13,2024,1,waiting period,federal,handgun,NA,NA,"The interim provisions of the Brady Law became effective on February 28, 1994, and ceased to apply on 6/1/1996  because Georgia implemented instant background check system. Luca et al. says Georgia waiting period law ceased due to Ga. Rev. Stat. 16-11-170,  but more specific citation is Ga. Rev. Stat  16-11-172.",NA,GA1045
Georgia,GA,13,2024,1,firearms in college/university,public : CCW allowed,handgun,NA,NA,NA,NA,GA1048
Georgia,GA,13,2024,1,firearms in college/university,public and private : possession prohibited,handgun,NA,NA,School not defined until 2000 law.,NA,GA1049
Georgia,GA,13,2024,1,firearms in college/university,public and private : possession prohibited,long gun,NA,NA,School not defined until 2000 law.,NA,GA1050
Georgia,GA,13,2024,1,local laws preempted by state,comprehensive,handgun and long gun,NA,NA,"Exceptions: (c )(1): A county or municipal corporation may regulate the transport, carrying, or possession of firearms by employees of the local unit of government, or by unpaid volunteers of such local unit of government, in the course of their employment or volunteer functions with such local unit of government; provided, however, that the sheriff or chief of police shall be solely responsible for regulating and determining the possession, carrying, and transportation of firearms and other weapons by employees under his or her respective supervision so long as such regulations comport with state and federal law.

(2) The commanding officer of any law enforcement agency shall regulate and determine the possession, carrying, and transportation of firearms and other weapons by employees under his or her supervision so long as such regulations comport with state and federal law.

(3) The district attorney, and the solicitor-general in counties where there is a state court, shall regulate and determine the possession, carrying, and transportation of firearms and other weapons by county employees under his or her supervision so long as such regulations comport with state and federal law.",NA,GA1052
Georgia,GA,13,2024,0,firearm sales restrictions,ban on high capacity magazines – federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,GA1056
Georgia,GA,13,2024,1,local laws preempted by state,comprehensive - punitive,handgun and long gun,NA,NA,NA,NA,GA1057
Georgia,GA,13,2024,1,minimum age,minimum age purchase - federal,long gun,21,NA,NA,NA,GA1058
Georgia,GA,13,2024,1,minimum age,minimum age purchase - federal,handgun,18,NA,NA,NA,GA1059
Georgia,GA,13,2024,1,minimum age,minimum age possession - federal,handgun,18,NA,NA,NA,GA1060
Georgia,GA,13,2024,1,background checks,sales from dealer,handgun,NA,NA,NA,NA,GA1061
Georgia,GA,13,2024,1,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,NA,NA,NA,NA,GA1062
Georgia,GA,13,2024,0,firearm sales restrictions,assault weapons ban — Federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,GA1063
Hawaii,HI,15,2024,1,background checks,permit to purchase,long gun,NA,NA,NA,NA,HI1001
Hawaii,HI,15,2024,1,background checks,sales from dealer,handgun,NA,NA,Makes length of permit 10 days.,NA,HI1003
Hawaii,HI,15,2024,1,background checks,sales from dealer,long gun,NA,NA,"Law regarding permit to purchase. See Laws 1927, Act 206, § 2141 for older version.",NA,HI1004
Hawaii,HI,15,2024,0,carrying a concealed weapon (ccw),may issue,handgun,NA,NA,"""For exceptional cases."" Applicant for CCW would generally also have to satisfy requirements of Sec. 134-2 re: permits to possess. See Hi. Rev. Stat. § 157-9 for original citation",NA,HI1005
Hawaii,HI,15,2024,1,castle doctrine,expanded 1,handgun and long gun,NA,NA,NA,NA,HI1006
Hawaii,HI,15,2024,1,child access laws,negligent storage,handgun and long gun,NA,NA,NA,NA,HI1008
Hawaii,HI,15,2024,1,dealer license,state license requirement,long gun,NA,NA,NA,NA,HI1009
Hawaii,HI,15,2024,1,firearm sales restrictions,assault weapons ban,handgun,NA,NA,List of banned features in Haw. Rev. Stat. Ann. § 134-1.,NA,HI1010
Hawaii,HI,15,2024,1,firearm sales restrictions,saturday night special ban,handgun,NA,NA,Implemented in S.B. No. 608 (1975).,NA,HI1011
Hawaii,HI,15,2024,0,permit to purchase,maximum waiting period,handgun,NA,NA,NA,NA,HI1012
Hawaii,HI,15,2024,0,permit to purchase,maximum waiting period,long gun,NA,NA,NA,NA,HI1013
Hawaii,HI,15,2024,0,permit to purchase,maximum waiting period,long gun,NA,NA,NA,NA,HI1014
Hawaii,HI,15,2024,1,permit to purchase,maximum waiting period,long gun,NA,NA,Enacted by Hi. S.B. 2393 (1994).,NA,HI1015
Hawaii,HI,15,2024,0,minimum age,purchase and sale,long gun,20,NA,"Included in Bakal's ""Right to Bear Arms,' published in 1966, so effective as of at least 1966. Vernick and Hepburn (2003) say that this law applied to permits only.",NA,HI1017
Hawaii,HI,15,2024,0,minimum age,purchase and sale,long gun,18,NA,"Permit law.  Unclear what year this law was first implemented, though it was before 1979.",NA,HI1018
Hawaii,HI,15,2024,1,minimum age,purchase and sale,long gun,21,NA,Permit law.,NA,HI1019
Hawaii,HI,15,2024,0,minimum age,purchase and sale,handgun,18,NA,NA,"Vernick and Hepburn (2003) say this was passed in 1972, whereas Peters, Cook, and Ludwig (2005) say it was passed in 1979.",HI1020
Hawaii,HI,15,2024,1,open carry,license required,handgun,NA,NA,NA,NA,HI1023
Hawaii,HI,15,2024,1,waiting period,Waiting Periods: De facto (permit required),long gun,NA,10,"de facto (permit required)”: The law does not require that permits are issued with a delay, but in practice they may take weeks to obtain, so we treat this as a de facto waiting period for long guns, and arbitrarily set the length of the waiting period to 10 days.",Vernick and Hepburn (2003) say this was enacted in 1988; we think it was 1981.,HI1026
Hawaii,HI,15,2024,1,registration,required,handgun,NA,NA,Covered newly-acquired and out-of-state handguns.  Originally passed as Haw. Rev. Stat. Ann. § 134-2.,NA,HI1027
Hawaii,HI,15,2024,1,waiting period,general,handgun,NA,14,"Although this is a permit-to-purchase law, permits to acquire pistols and revolvers are only valid for 10 days and require a separate application for each transaction, so the law operates as a true waiting period.  The waiting period requirement does not apply to buyers who have received a permit within the past year.",NA,HI1028
Hawaii,HI,15,2024,1,waiting period,general,long gun,NA,10,The waiting period requirement does not apply to buyers who have received a permit within the past year.,"Vernick and Hepburn (2003) say this is a handgun law, but we think the law has always referred to firearms in general.",HI1029
Hawaii,HI,15,2024,0,background checks,sales from dealer,handgun,NA,NA,"Law regarding permit to purchase. See Laws 1927, Act 206, § 2141 for older version.",NA,HI1031
Hawaii,HI,15,2024,1,dealer license,state license requirement,handgun,NA,NA,NA,NA,HI1034
Hawaii,HI,15,2024,1,background checks,permit to purchase,handgun,NA,NA,NA,NA,HI1035
Hawaii,HI,15,2024,0,minimum age,purchase and sale,handgun,20,NA,"Included in Bakal's ""Right to Bear Arms,' published in 1966, so effective as of at least 1966. Vernick and Hepburn (2003) say that this law applied to permits only.",NA,HI1036
Hawaii,HI,15,2024,0,minimum age,purchase and sale,handgun,18,NA,"Permit law.  Unclear what year this law was first implemented, though it was before 1979.",NA,HI1037
Hawaii,HI,15,2024,1,minimum age,purchase and sale,handgun,21,NA,Permit law.,NA,HI1038
Hawaii,HI,15,2024,0,permit to purchase,maximum waiting period,long gun,NA,NA,NA,NA,HI1039
Hawaii,HI,15,2024,0,permit to purchase,maximum waiting period,handgun,NA,NA,NA,NA,HI1040
Hawaii,HI,15,2024,1,waiting period,Waiting Periods: De facto (permit required),handgun,NA,10,"de facto (permit required)”: The law does not require that permits are issued with a delay, but in practice they may take weeks to obtain, so we treat this as a de facto waiting period for handguns, and arbitrarily set the length of the waiting period to 10 days.",NA,HI1041
Hawaii,HI,15,2024,1,waiting period,Waiting Periods: De facto (permit required),long gun,NA,10,"de facto (permit required)”: The law does not require that permits are issued with a delay, but in practice they may take weeks to obtain, so we treat this as a de facto waiting period for long guns, and arbitrarily set the length of the waiting period to 10 days.",NA,HI1042
Hawaii,HI,15,2024,0,waiting period,Waiting Periods: De facto (permit required),long gun,NA,10,"de facto (permit required)”: The law does not require that permits are issued with a delay, but in practice they may take weeks to obtain, so we treat this as a de facto waiting period for long guns, and arbitrarily set the length of the waiting period to 10 days.",NA,HI1043
Hawaii,HI,15,2024,0,permit to purchase,maximum waiting period,handgun,NA,NA,NA,NA,HI1044
Hawaii,HI,15,2024,0,waiting period,general,handgun,NA,10,The waiting period requirement does not apply to buyers who have received a permit within the past year.,"Vernick and Hepburn (2003) say this is a handgun law, but we think the law has always referred to firearms in general.",HI1045
Hawaii,HI,15,2024,1,permit to purchase,maximum waiting period,handgun,NA,NA,Enacted by Hi. S.B. 2393 (1994).,NA,HI1046
Hawaii,HI,15,2024,0,minimum age,purchase and sale,long gun,18,NA,NA,"Vernick and Hepburn (2003) say this was passed in 1972, whereas Peters, Cook, and Ludwig (2005) say it was passed in 1979.",HI1050
Hawaii,HI,15,2024,1,prohibited possessor,"mental health : diagnosed with significant behavioral, emotional or mental disorder",handgun and long gun,NA,NA,"The prohibition ends when ""the person has been medically documented to be no longer adversely affected by the addiction, abuse, dependence, mental disease, disorder, or defect.""",NA,HI1051
Hawaii,HI,15,2024,0,prohibited possessor,dvro,handgun and long gun,NA,NA,"This law allows for the judge's discretion about whether to include a firearm ban in the order. This law includes a surrender requirement. In 2000, HI added discretionary firearm removal with Haw. Rev. Stat. Ann. § 134-7.3(b).",NA,HI1052
Hawaii,HI,15,2024,0,prohibited possessor,dvro ex parte,handgun and long gun,NA,NA,"This law allows for the judge's discretion about whether to include a firearm ban in the order. This law includes a surrender requirement. In 2000, HI added discretionary firearm removal with Haw. Rev. Stat. Ann. § 134-7.3(b).",NA,HI1053
Hawaii,HI,15,2024,1,prohibited possessor,dvro : expanded,handgun and long gun,NA,NA,"This law allows for the judge's discretion about whether to include a firearm ban in the order. This law includes a surrender requirement. In 2000, HI added discretionary firearm removal with Haw. Rev. Stat. Ann. § 134-7.3(b).",NA,HI1055
Hawaii,HI,15,2024,1,safety training required,to purchase,handgun,NA,NA,NA,NA,HI1057
Hawaii,HI,15,2024,1,registration,required,long gun,NA,NA,For newly-acquired long guns. Law already in place for long guns brought in from out-of-state.,NA,HI1061
Hawaii,HI,15,2024,0,registration,required,long gun,NA,NA,This law applied only to long guns brought in from out-of-state. Newly-acquire dlong guns were excluded until 1994. Originally passed as Haw. Rev. Stat. Ann. § 134-2.,NA,HI1064
Hawaii,HI,15,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),NA,HI1065
Hawaii,HI,15,2024,1,background checks,sales from dealer : federal,handgun and long gun,NA,NA,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,NA,HI1066
Hawaii,HI,15,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,HI1069
Hawaii,HI,15,2024,1,prohibited possessor,erpo : expanded,handgun and long gun,NA,NA,NA,NA,HI1070
Hawaii,HI,15,2024,1,prohibited possessor,erpo : ex parte expanded,handgun and long gun,NA,NA,NA,NA,HI1071
Hawaii,HI,15,2024,0,firearm removal at scene of domestic violence,authorized,handgun and long gun,NA,NA,NA,NA,HI1072
Hawaii,HI,15,2024,1,required reporting of lost or stolen firearms,lost and stolen firearms,handgun and long gun,NA,NA,NA,NA,HI1078
Hawaii,HI,15,2024,1,firearm removal at scene of domestic violence,required,handgun and long gun,NA,NA,NA,NA,HI1080
Hawaii,HI,15,2024,1,untraceable firearms,prohibited,handgun and long gun,NA,NA,Serial Number Requirement,NA,HI1081
Hawaii,HI,15,2024,1,untraceable firearms,prohibited,handgun and long gun,NA,NA,Background Check for Parts,NA,HI1082
Hawaii,HI,15,2024,1,prohibited possessor,dvro ex parte : expanded,handgun and long gun,NA,NA,"This law allows for the judge's discretion about whether to include a firearm ban in the order. This law includes a surrender requirement. In 2000, HI added discretionary firearm removal with Haw. Rev. Stat. Ann. § 134-7.3(b).",NA,HI1083
