Country,Status
Afghanistan,Enemy
Belarus,Enemy
China,Enemy
Cuba,Enemy
Eritrea,Enemy
Iran,Enemy
Myanmar,Enemy
North Korea,Enemy
Russia,Enemy
South Sudan,Enemy
Syria,Enemy
Venezuela,Enemy
Yemen,Enemy
Zimbabwe,Enemy
Cambodia,Former enemy
Central African Republic,Former enemy
Laos,Former enemy
Libya,Former enemy
Nicaragua,Former enemy
Niger,Former enemy
Somalia,Former enemy
Sudan,Former enemy
